"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Grays Harbor","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","9220","38.492","United States"
"Grays Harbor","Congressional District 6 U.S. Representative","Derek Kilmer","(Prefers Democratic Party)","12919","55.3324","Congressional District 6"
"Grays Harbor","Congressional District 6 U.S. Representative","Bill Driscoll","(Prefers Republican Party)","10429","44.6676","Congressional District 6"
"Grays Harbor","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","12262","51.1855","Washington State"
"Grays Harbor","Washington State Governor","Rob McKenna","(Prefers Republican Party)","11694","48.8145","Washington State"
"Grays Harbor","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","14515","62.0087","Washington State"
"Grays Harbor","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","8893","37.9913","Washington State"
"Grays Harbor","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","11399","49.4662","Washington State"
"Grays Harbor","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","11645","50.5338","Washington State"
"Grays Harbor","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","13657","59.8755","Washington State"
"Grays Harbor","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","9152","40.1245","Washington State"
"Grays Harbor","Washington State State Auditor","James Watkins","(Prefers Republican Party)","10314","45.7729","Washington State"
"Grays Harbor","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","12219","54.2271","Washington State"
"Grays Harbor","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","12863","55.6984","Washington State"
"Grays Harbor","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","10231","44.3016","Washington State"
"Grays Harbor","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","12766","56.3098","Washington State"
"Grays Harbor","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","9905","43.6902","Washington State"
"Grays Harbor","Washington State Superintendent of Public Instruction","Randy I. Dorn","","17184","100","Washington State"
"Grays Harbor","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","13333","59.3475","Washington State"
"Grays Harbor","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","9133","40.6525","Washington State"
"Grays Harbor","Legislative District 19 State Senator","Brian Hatfield","(Prefers Democratic Party)","7343","66.0877","Legislative District 19"
"Grays Harbor","Legislative District 19 State Senator","Rick Winsman","(Prefers Republican Party)","3768","33.9123","Legislative District 19"
"Grays Harbor","Legislative District 19 State Representative Pos. 1","Dean Takko","(Prefers Democratic Party)","6936","63.8615","Legislative District 19"
"Grays Harbor","Legislative District 19 State Representative Pos. 1","Dixie Kolditz","(Prefers Republican Party)","3925","36.1385","Legislative District 19"
"Grays Harbor","Legislative District 19 State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)","6994","64.6097","Legislative District 19"
"Grays Harbor","Legislative District 19 State Representative Pos. 2","Tim Sutinen","(Prefers Independent Party)","3831","35.3903","Legislative District 19"
"Grays Harbor","Legislative District 24 State Senator","Jim Hargrove","(Prefers Democratic Party)","7980","67.1265","Legislative District 24"
"Grays Harbor","Legislative District 24 State Senator","Larry Carter","(Prefers Independent Party)","3908","32.8735","Legislative District 24"
"Grays Harbor","Legislative District 24 State Representative Pos. 1","Kevin Van De Wege","(Prefers Democratic Party)","7167","62.6322","Legislative District 24"
"Grays Harbor","Legislative District 24 State Representative Pos. 1","Craig Durgan","(States No Party Preference)","4276","37.3678","Legislative District 24"
"Grays Harbor","Legislative District 24 State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)","6697","57.485","Legislative District 24"
"Grays Harbor","Legislative District 24 State Representative Pos. 2","Steve Gale","(Prefers Republican Party)","4953","42.515","Legislative District 24"
"Grays Harbor","Grays Harbor - ALL Commissioner #1","Wes Cormier","(Prefers Republican Party)","11838","51.8506","Grays Harbor - ALL"
"Grays Harbor","Grays Harbor - ALL Commissioner #1","Terry Willis","(Prefers  Democratic  Party)","10993","48.1494","Grays Harbor - ALL"
"Grays Harbor","Grays Harbor - ALL Commissioner #2","Frank Gordon","(Prefers Dem Party)","13025","57.5131","Grays Harbor - ALL"
"Grays Harbor","Grays Harbor - ALL Commissioner #2","Allan Shores","(Prefers Republican Party)","9622","42.4869","Grays Harbor - ALL"
"Grays Harbor","Supreme Court Justice Position 2","Susan Owens","","16590","100","Supreme Court"
"Grays Harbor","Supreme Court Justice Position 8","Steve Gonzalez","","16334","100","Supreme Court"
"Grays Harbor","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","10816","56.0356","Supreme Court"
"Grays Harbor","Supreme Court Justice Position 9","Richard B. Sanders","","8486","43.9644","Supreme Court"
"Grays Harbor","Court of Appeals, Division 2, District 2 Judge Position 2","Pamela (Pam) Loginsky","","9985","53.3273","Court of Appeals, Division 2, District 2"
"Grays Harbor","Court of Appeals, Division 2, District 2 Judge Position 2","Thomas Bjorgen","","8739","46.6727","Court of Appeals, Division 2, District 2"
"Grays Harbor","Grays Harbor Superior Court Judge Position 1","Gordon L. Godfrey","","16949","100","Grays Harbor Superior Court"
"Grays Harbor","Grays Harbor Superior Court Judge Position 2","Dave Edwards","","17048","100","Grays Harbor Superior Court"
"Grays Harbor","Grays Harbor Superior Court Judge Position 3","Mark McCauley","","17159","100","Grays Harbor Superior Court"
"Grays Harbor","PUD District - ALL PUD Comm (1)","Arie Callaghan","","10794","56.7001","PUD District - ALL"
"Grays Harbor","PUD District - ALL PUD Comm (1)","Chris Thomas","","8243","43.2999","PUD District - ALL"
"Grays Harbor","Westport Council City of Westport Levy emergency medical care and ambulance services","Levy Yes","","463","71.6718","Westport Council"
"Grays Harbor","Westport Council City of Westport Levy emergency medical care and ambulance services","Levy No","","183","28.3282","Westport Council"
"Grays Harbor","Sch Dist 65 - McCleary McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts","Approved","","667","77.7389","Sch Dist 65 - McCleary"
"Grays Harbor","Sch Dist 65 - McCleary McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts","Rejected","","191","22.2611","Sch Dist 65 - McCleary"
"Grays Harbor","Fire District 5 Proposition 1 a proposition to ensure continued delivery of fire protection and emergency medical services","Approved","","845","45.7746","Fire District 5"
"Grays Harbor","Fire District 5 Proposition 1 a proposition to ensure continued delivery of fire protection and emergency medical services","Rejected","","1001","54.2254","Fire District 5"
"Grays Harbor","Fire District 12 Grays Harbor County Fire District #12 Proposition 1 levy for the provision of Emergency Medical Services ","Yes","","291","55.2182","Fire District 12"
"Grays Harbor","Fire District 12 Grays Harbor County Fire District #12 Proposition 1 levy for the provision of Emergency Medical Services ","No","","236","44.7818","Fire District 12"
"Grays Harbor","Fire District 15 Grays Harbor County Fire District #15 - Proposition 1 levy for the provision of Emergency Medical Services ","Yes","","141","75.4011","Fire District 15"
"Grays Harbor","Fire District 15 Grays Harbor County Fire District #15 - Proposition 1 levy for the provision of Emergency Medical Services ","No","","46","24.5989","Fire District 15"
"Grays Harbor","Fire District 15 Grays Harbor County Fire District #15 - Proposition 2 Proposition to restore the district's regular property tax levy","Approved","","126","67.7419","Fire District 15"
"Grays Harbor","Fire District 15 Grays Harbor County Fire District #15 - Proposition 2 Proposition to restore the district's regular property tax levy","Rejected","","60","32.2581","Fire District 15"
"Island","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","22781","67.153","Statewide"
"Island","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","11143","32.847","Statewide"
"Island","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","18479","53.9832","Statewide"
"Island","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","15752","46.0168","Statewide"
"Island","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","17818","51.4183","Statewide"
"Island","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","16835","48.5817","Statewide"
"Island","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","19340","55.5029","Statewide"
"Island","Statewide Initiative Measure No. 502 Concerns marijuana","No","","15505","44.4971","Statewide"
"Island","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","20627","65.4493","Statewide"
"Island","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","10889","34.5507","Statewide"
"Island","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","13423","41.4854","Statewide"
"Island","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","18933","58.5146","Statewide"
"Island","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","18078","58.3575","Washington State"
"Island","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","12900","41.6425","Washington State"
"Island","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","16958","56.2622","Washington State"
"Island","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","13183","43.7378","Washington State"
